Year,CO2,OtherGHG,O3Tropos,O3Stratos,Aerosol,LUC,H2OStrat,BCSnow,Contrails,Solar,Volcano
1750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
1751,-0.023,0.004,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,-0.014,0.000
1752,-0.024,0.006,0.001,0.000,-0.004,-0.001,0.000,0.000,0.000,-0.029,0.000
1753,-0.024,0.007,0.001,0.000,-0.005,-0.001,0.000,0.000,0.000,-0.033,0.000
1754,-0.025,0.008,0.002,0.000,-0.007,-0.002,0.000,0.001,0.000,-0.043,0.000
1755,-0.026,0.010,0.002,0.000,-0.009,-0.002,0.000,0.001,0.000,-0.054,-0.664
1756,-0.026,0.011,0.003,0.000,-0.011,-0.002,0.000,0.001,0.000,-0.055,0.000
1757,-0.027,0.013,0.003,0.000,-0.013,-0.003,0.000,0.001,0.000,-0.048,0.000
1758,-0.028,0.014,0.003,0.000,-0.014,-0.003,0.000,0.001,0.000,-0.050,0.000
1759,-0.028,0.015,0.004,0.000,-0.016,-0.004,0.000,0.001,0.000,-0.102,0.000
1760,-0.029,0.016,0.004,0.000,-0.018,-0.004,0.000,0.001,0.000,-0.112,-0.060
1761,-0.029,0.017,0.005,0.000,-0.020,-0.004,0.000,0.002,0.000,-0.016,-1.093
1762,-0.029,0.017,0.005,0.000,-0.021,-0.005,0.001,0.002,0.000,-0.007,-0.300
1763,-0.029,0.018,0.006,0.000,-0.023,-0.005,0.001,0.002,0.000,-0.018,-0.093
1764,-0.028,0.018,0.006,0.000,-0.025,-0.006,0.001,0.002,0.000,-0.022,-0.021
1765,-0.026,0.018,0.006,0.000,-0.027,-0.006,0.001,0.002,0.000,-0.054,-0.003
1766,-0.024,0.018,0.007,0.000,-0.029,-0.006,0.001,0.002,0.000,-0.048,0.000
1767,-0.022,0.018,0.007,0.000,-0.030,-0.007,0.001,0.003,0.000,-0.036,0.000
1768,-0.020,0.018,0.008,0.000,-0.032,-0.007,0.001,0.003,0.000,0.016,0.000
1769,-0.017,0.018,0.008,0.000,-0.034,-0.008,0.001,0.003,0.000,0.050,0.000
1770,-0.014,0.018,0.009,0.000,-0.036,-0.008,0.001,0.003,0.000,0.081,0.000
1771,-0.011,0.018,0.009,0.000,-0.038,-0.008,0.001,0.003,0.000,0.055,0.000
1772,-0.008,0.018,0.009,0.000,-0.039,-0.009,0.001,0.003,0.000,0.052,-0.070
1773,-0.005,0.018,0.010,0.000,-0.041,-0.009,0.001,0.003,0.000,0.016,-0.020
1774,-0.003,0.018,0.010,0.000,-0.043,-0.010,0.001,0.004,0.000,-0.002,-0.005
1775,-0.001,0.018,0.011,0.000,-0.045,-0.010,0.001,0.004,0.000,-0.038,-0.001
1776,0.001,0.018,0.011,0,-0.046,-0.01,0.001,0.004,0,-0.045,0
1777,0.002,0.018,0.011,0,-0.048,-0.011,0.001,0.004,0,-0.036,0
1778,0.003,0.018,0.012,0,-0.05,-0.011,0.001,0.004,0,0.017,-0.067
1779,0.003,0.018,0.012,0,-0.052,-0.012,0.001,0.004,0,-0.034,-0.071
1780,0.003,0.018,0.013,0,-0.054,-0.012,0.002,0.004,0,-0.069,-0.018
1781,0.004,0.018,0.013,0,-0.055,-0.012,0.002,0.005,0,-0.057,-0.004
1782,0.004,0.018,0.014,0,-0.057,-0.013,0.002,0.005,0,-0.028,-0.001
1783,0.006,0.018,0.014,0,-0.059,-0.013,0.002,0.005,0,-0.065,-7.857
1784,0.009,0.018,0.014,0,-0.061,-0.014,0.002,0.005,0,-0.059,-0.522
1785,0.012,0.018,0.015,0,-0.062,-0.014,0.002,0.005,0,-0.046,-0.121
1786,0.017,0.018,0.015,0,-0.064,-0.014,0.002,0.005,0,-0.022,-0.027
1787,0.021,0.018,0.016,0,-0.066,-0.015,0.002,0.005,0,-0.001,-0.002
1788,0.027,0.018,0.016,0,-0.068,-0.015,0.002,0.006,0,0.034,-0.133
1789,0.033,0.019,0.017,0,-0.07,-0.016,0.002,0.006,0,-0.033,-0.041
1790,0.038,0.019,0.017,0,-0.071,-0.016,0.002,0.006,0,-0.058,-0.009
1791,0.044,0.019,0.017,0,-0.073,-0.016,0.002,0.006,0,-0.056,-0.001
1792,0.05,0.02,0.018,0,-0.075,-0.017,0.002,0.006,0,-0.051,0
1793,0.055,0.02,0.018,0,-0.077,-0.017,0.002,0.006,0,-0.065,0
1794,0.06,0.021,0.019,0,-0.079,-0.018,0.002,0.006,0,-0.064,-0.157
1795,0.066,0.022,0.019,0,-0.08,-0.018,0.002,0.007,0,-0.027,0
1796,0.07,0.023,0.02,0,-0.082,-0.018,0.002,0.007,0,-0.033,-0.781
1797,0.075,0.023,0.02,0,-0.084,-0.019,0.002,0.007,0,-0.043,-0.071
1798,0.079,0.024,0.02,0,-0.086,-0.019,0.002,0.007,0,-0.045,-0.016
1799,0.084,0.025,0.021,0,-0.087,-0.02,0.003,0.007,0,-0.047,-0.002
1800,0.088,0.025,0.021,0,-0.089,-0.02,0.003,0.007,0,-0.055,0
1801,0.092,0.026,0.022,0,-0.091,-0.02,0.003,0.007,0,-0.021,-0.154
1802,0.096,0.026,0.022,0,-0.093,-0.021,0.003,0.008,0,-0.01,-0.048
1803,0.099,0.026,0.023,0,-0.095,-0.021,0.003,0.008,0,-0.033,-0.011
1804,0.103,0.026,0.023,0,-0.096,-0.022,0.003,0.008,0,-0.04,-0.23
1805,0.106,0.026,0.023,0,-0.098,-0.022,0.003,0.008,0,-0.046,-0.07
1806,0.109,0.026,0.024,0,-0.1,-0.022,0.003,0.008,0,-0.036,-0.016
1807,0.112,0.026,0.024,0,-0.102,-0.023,0.003,0.008,0,-0.057,-0.002
1808,0.114,0.026,0.025,0,-0.104,-0.023,0.003,0.008,0,-0.065,0
1809,0.116,0.026,0.025,0,-0.105,-0.024,0.003,0.009,0,-0.065,-6.947
1810,0.117,0.026,0.025,0,-0.107,-0.024,0.003,0.009,0,-0.07,-2.254
1811,0.118,0.027,0.026,0,-0.109,-0.024,0.003,0.009,0,-0.072,-0.836
1812,0.119,0.027,0.026,0,-0.111,-0.025,0.003,0.009,0,-0.072,-0.308
1813,0.118,0.028,0.027,0,-0.112,-0.025,0.004,0.009,0,-0.069,-0.109
1814,0.117,0.029,0.027,0,-0.114,-0.026,0.004,0.009,0,-0.064,0
1815,0.115,0.03,0.028,0,-0.116,-0.026,0.004,0.009,0,-0.062,-11.629
1816,0.113,0.031,0.028,0,-0.118,-0.026,0.004,0.01,0,-0.052,-4.553
1817,0.11,0.032,0.028,0,-0.12,-0.027,0.004,0.01,0,-0.048,-2.419
1818,0.107,0.034,0.029,0,-0.121,-0.027,0.004,0.01,0,-0.053,-0.915
1819,0.104,0.035,0.029,0,-0.123,-0.028,0.004,0.01,0,-0.054,-0.337
1820,0.101,0.037,0.03,0,-0.125,-0.028,0.004,0.01,0,-0.059,-0.039
1821,0.099,0.038,0.03,0,-0.127,-0.028,0.004,0.01,0,-0.065,0
1822,0.097,0.04,0.031,0,-0.128,-0.029,0.004,0.01,0,-0.066,0
1823,0.096,0.041,0.031,0,-0.13,-0.029,0.004,0.011,0,-0.068,0
1824,0.097,0.042,0.031,0,-0.132,-0.03,0.004,0.011,0,-0.059,0
1825,0.098,0.043,0.032,0,-0.134,-0.03,0.005,0.011,0,-0.052,0
1826,0.1,0.044,0.032,0,-0.136,-0.03,0.005,0.011,0,-0.044,0
1827,0.103,0.045,0.033,0,-0.137,-0.031,0.005,0.011,0,-0.018,0
1828,0.106,0.045,0.033,0,-0.139,-0.031,0.005,0.011,0,-0.008,0
1829,0.109,0.045,0.034,0,-0.141,-0.032,0.005,0.011,0,-0.006,0
1830,0.111,0.045,0.034,0,-0.143,-0.032,0.005,0.012,0,0.002,0
1831,0.113,0.044,0.034,0,-0.145,-0.032,0.005,0.012,0,0.002,-1.538
1832,0.114,0.043,0.035,0,-0.146,-0.033,0.005,0.012,0,-0.02,-1.229
1833,0.114,0.041,0.035,0,-0.148,-0.033,0.005,0.012,0,-0.035,-0.605
1834,0.114,0.039,0.036,0,-0.15,-0.034,0.005,0.012,0,-0.038,-0.223
1835,0.113,0.037,0.036,0,-0.152,-0.034,0.005,0.012,0,-0.033,-4.935
1836,0.112,0.036,0.037,0,-0.153,-0.034,0.005,0.012,0,0.017,-1.445
1837,0.112,0.035,0.037,0,-0.155,-0.035,0.006,0.013,0,0.055,-0.523
1838,0.112,0.035,0.037,0,-0.157,-0.035,0.006,0.013,0,0.051,-0.192
1839,0.114,0.036,0.038,0,-0.159,-0.036,0.006,0.013,0,0.028,-0.069
1840,0.117,0.037,0.038,0,-0.161,-0.036,0.006,0.013,0,0.027,-0.047
1841,0.121,0.038,0.039,0,-0.162,-0.036,0.006,0.013,0,0.007,-0.013
1842,0.127,0.04,0.039,0,-0.164,-0.037,0.006,0.013,0,-0.006,-0.003
1843,0.135,0.041,0.039,0,-0.166,-0.037,0.006,0.013,0,-0.013,-0.052
1844,0.142,0.042,0.04,0,-0.168,-0.038,0.006,0.014,0,-0.024,-0.014
1845,0.149,0.043,0.04,0,-0.169,-0.038,0.006,0.014,0,-0.026,-0.003
1846,0.155,0.044,0.041,0,-0.171,-0.038,0.006,0.014,0,-0.024,-0.071
1847,0.16,0.044,0.041,0,-0.173,-0.039,0.007,0.014,0,-0.062,-0.02
1848,0.163,0.045,0.042,0,-0.175,-0.039,0.007,0.014,0,-0.018,-0.005
1849,0.166,0.046,0.042,0,-0.177,-0.04,0.007,0.014,0,0.043,-0.001
1850,0.167,0.046,0.042,0,-0.178,-0.04,0.007,0.014,0,0.024,-0.1
1851,0.167,0.047,0.043,0,-0.18,-0.04,0.007,0.015,0,0.016,-0.075
1852,0.166,0.048,0.044,0,-0.182,-0.041,0.007,0.015,0,0.02,-0.05
1853,0.164,0.049,0.045,0,-0.184,-0.041,0.007,0.015,0,0.011,-0.025
1854,0.162,0.05,0.046,0,-0.185,-0.041,0.007,0.016,0,-0.01,0
1855,0.16,0.051,0.047,0,-0.187,-0.042,0.007,0.016,0,-0.027,0
1856,0.158,0.052,0.048,0,-0.189,-0.042,0.007,0.016,0,-0.037,-0.425
1857,0.156,0.054,0.049,0,-0.191,-0.042,0.008,0.016,0,-0.037,-1.425
1858,0.155,0.055,0.05,0,-0.192,-0.043,0.008,0.017,0,-0.02,-1.1
1859,0.154,0.057,0.05,0,-0.194,-0.043,0.008,0.017,0,-0.007,-0.4
1860,0.154,0.058,0.051,0,-0.196,-0.043,0.008,0.017,0,0.029,-0.175
1861,0.153,0.06,0.052,0,-0.198,-0.044,0.008,0.018,0,0.036,-0.075
1862,0.153,0.061,0.053,0,-0.199,-0.044,0.008,0.018,0,0.013,-0.225
1863,0.154,0.062,0.054,0,-0.201,-0.044,0.008,0.018,0,0.006,-0.325
1864,0.156,0.063,0.055,0,-0.203,-0.045,0.008,0.018,0,-0.017,-0.175
1865,0.158,0.064,0.056,0,-0.205,-0.045,0.009,0.019,0,-0.018,-0.075
